Match: rule-set 'v1.1-baseline'  games=500  depth=8  max-plies=600  openings=500x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v1_1-baseline-89969-c7d8a0219229499990bd6c88bcf35e58.ini
  startFen : 4abtb4/2mubmbu4/12/3*4*3/4**6/12/12/3XC1SD4 w - - 0 1
  openings : 500 distinct (requested 500)

  [w1]  #2    0-1     Party extinct                       114 plies    5.1s  (1/500)
  [w3]  #4    1-0     Treasure checkmated or captured     155 plies    6.9s  (2/500)
  [w0]  #1    1-0     Treasure checkmated or captured     169 plies    7.4s  (3/500)
  [w0]  #5    1-0     Treasure checkmated or captured      37 plies    1.8s  (4/500)
  [w1]  #6    1-0     Treasure checkmated or captured     137 plies    6.0s  (5/500)
  [w2]  #3    0-1     Party extinct                       264 plies   11.4s  (6/500)
  [w3]  #8    1-0     Treasure checkmated or captured     115 plies    5.1s  (7/500)
  [w0]  #9    1-0     Treasure checkmated or captured     155 plies    6.8s  (8/500)
  [w2]  #7    0-1     Party extinct                       182 plies    7.9s  (9/500)
  [w2]  #11   1-0     Treasure checkmated or captured      91 plies    4.2s  (10/500)
  [w1]  #10   1-0     Treasure checkmated or captured     289 plies   12.5s  (11/500)
  [w0]  #13   1-0     Treasure checkmated or captured     297 plies   12.8s  (12/500)
  [w1]  #14   1-0     Treasure checkmated or captured     125 plies    5.6s  (13/500)
  [w2]  #15   0-1     Party extinct                       274 plies   11.8s  (14/500)
  [w3]  #12   *       ply cap (600)                       600 plies   25.6s  (15/500)
  [w0]  #17   1-0     Treasure checkmated or captured     253 plies   11.0s  (16/500)
  [w2]  #19   1-0     Treasure checkmated or captured     139 plies    6.1s  (17/500)
  [w1]  #18   0-1     Party extinct                       314 plies   13.6s  (18/500)
  [w3]  #16   1-0     Treasure checkmated or captured     141 plies    6.2s  (19/500)
  [w0]  #21   1-0     Treasure checkmated or captured     149 plies    6.6s  (20/500)
