Match: rule-set 'v1.1-baseline'  games=2000  depth=8  max-plies=600  openings=2000x6plies  seed=20260425  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v1_1-baseline-94493-32ab3d8401174c499e786aba34c7e45d.ini
  startFen : 4abtb4/2mubmbu4/12/3*4*3/4**6/12/12/3XC1SD4 w - - 0 1
  openings : 2000 distinct (requested 2000)

  [w1]  #2    0-1     Party extinct                        66 plies    3.1s  (1/2000)
  [w2]  #3    1-0     Treasure checkmated or captured     227 plies    9.8s  (2/2000)
  [w0]  #1    1-0     Treasure checkmated or captured     225 plies   10.2s  (3/2000)
  [w3]  #4    1-0     Treasure checkmated or captured     307 plies   13.2s  (4/2000)
  [w1]  #6    0-1     Party extinct                       288 plies   12.5s  (5/2000)
  [w1]  #10   1-0     Treasure checkmated or captured      39 plies    1.9s  (6/2000)
  [w3]  #8    0-1     Party extinct                       146 plies    6.4s  (7/2000)
  [w0]  #5    0-1     Party extinct                       240 plies   10.5s  (8/2000)
  [w2]  #7    0-1     Party extinct                       262 plies   11.4s  (9/2000)
  [w1]  #14   0-1     Party extinct                       116 plies    5.2s  (10/2000)
  [w0]  #9    1-0     Treasure checkmated or captured     113 plies    5.1s  (11/2000)
  [w2]  #11   1-0     Treasure checkmated or captured     113 plies    5.0s  (12/2000)
  [w3]  #12   0-1     Party extinct                       214 plies    9.4s  (13/2000)
  [w1]  #18   1-0     Treasure checkmated or captured     159 plies    7.0s  (14/2000)
  [w0]  #13   1-0     Treasure checkmated or captured     129 plies    5.7s  (15/2000)
  [w2]  #15   1-0     Treasure checkmated or captured     153 plies    6.7s  (16/2000)
  [w2]  #19   0-1     Party has no legal response          70 plies    3.2s  (17/2000)
  [w3]  #16   1-0     Treasure checkmated or captured     287 plies   12.4s  (18/2000)
  [w1]  #22   0-1     Party extinct                       342 plies   14.8s  (19/2000)
  [w2]  #23   0-1     Party extinct                       202 plies    9.3s  (20/2000)
  [w0]  #17   1-0     Treasure checkmated or captured     333 plies   14.2s  (21/2000)
  [w3]  #20   0-1     Party has no legal response         130 plies    5.8s  (22/2000)
  [w0]  #21   1-0     Treasure checkmated or captured     127 plies    5.8s  (23/2000)
  [w1]  #26   1-0     Treasure checkmated or captured     175 plies    7.7s  (24/2000)
  [w2]  #27   0-1     Party extinct                       190 plies    8.3s  (25/2000)
  [w3]  #24   1-0     Treasure checkmated or captured     177 plies    7.7s  (26/2000)
  [w1]  #30   0-1     Party extinct                       216 plies    9.3s  (27/2000)
  [w0]  #25   1-0     Treasure checkmated or captured     237 plies   10.2s  (28/2000)
  [w2]  #31   0-1     Party extinct                       186 plies    8.5s  (29/2000)
