Match: rule-set 'v3-mc-denser-horde'  games=150  depth=6  openings=150x6plies  seed=20260423  parallel=4
  variants : /var/folders/gb/ns03xtr53539qh0kc35fzv8dxfq40g/T/yes-hybrid/variants-v3-mc-denser-horde-89986-f7bb46bdd2234c82a76dc2e29f863099.ini
  startFen : 4abtba3/1mmubmbummm1/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 150 distinct (requested 150)

  [w1]  #2    0-1     Party extinct                       170 plies    7.5s  (1/150)
  [w3]  #4    0-1     Party extinct                       250 plies   11.0s  (2/150)
  [w1]  #6    0-1     Party extinct                       158 plies    7.0s  (3/150)
  [w0]  #1    *       ply cap (400)                       400 plies   17.6s  (4/150)
  [w2]  #3    *       ply cap (400)                       400 plies   17.6s  (5/150)
  [w3]  #8    *       ply cap (400)                       400 plies   17.6s  (6/150)
  [w2]  #7    0-1     Party extinct                       258 plies   11.4s  (7/150)
  [w1]  #10   *       ply cap (400)                       400 plies   17.6s  (8/150)
  [w0]  #5    0-1     Party extinct                       370 plies   16.3s  (9/150)
  [w3]  #12   0-1     Party extinct                       146 plies    6.4s  (10/150)
  [w2]  #11   0-1     Party extinct                       172 plies    7.6s  (11/150)
  [w3]  #16   0-1     Party extinct                       136 plies    6.0s  (12/150)
  [w2]  #15   1-0     Treasure checkmated or captured     227 plies   10.0s  (13/150)
  [w1]  #14   *       ply cap (400)                       400 plies   17.6s  (14/150)
  [w0]  #9    *       ply cap (400)                       400 plies   17.6s  (15/150)
  [w3]  #20   *       ply cap (400)                       400 plies   17.6s  (16/150)
  [w3]  #24   1-0     Treasure checkmated or captured      23 plies    1.0s  (17/150)
  [w2]  #19   *       ply cap (400)                       400 plies   17.5s  (18/150)
  [w1]  #18   0-1     Party extinct                       372 plies   16.3s  (19/150)
  [w0]  #13   *       ply cap (400)                       400 plies   17.5s  (20/150)
  [w3]  #28   1-0     Treasure checkmated or captured     337 plies   14.8s  (21/150)
  [w2]  #23   1-0     Treasure checkmated or captured     315 plies   13.9s  (22/150)
  [w1]  #22   *       ply cap (400)                       400 plies   17.6s  (23/150)
