Match: rule-set 'v4-mf-artillery-range'  games=150  depth=6  max-plies=400  openings=150x6plies  seed=20260424  parallel=4
  variants : /var/folders/gb/ns03xtr53539qh0kc35fzv8dxfq40g/T/yes-hybrid/variants-v4-mf-artillery-range-98445-53873c240a27409794b9a9d9f021c577.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 150 distinct (requested 150)

  [w1]  #2    1-0     Treasure checkmated or captured     273 plies   12.1s  (1/150)
  [w3]  #4    1-0     Treasure checkmated or captured     303 plies   13.4s  (2/150)
  [w0]  #1    *       ply cap (400)                       400 plies   17.6s  (3/150)
  [w2]  #3    *       ply cap (400)                       400 plies   17.6s  (4/150)
  [w2]  #7    1-0     Treasure checkmated or captured      59 plies    2.6s  (5/150)
  [w2]  #11   1-0     Treasure checkmated or captured     113 plies    5.0s  (6/150)
  [w1]  #6    0-1     Party extinct                       330 plies   14.5s  (7/150)
  [w2]  #15   1-0     Treasure checkmated or captured     115 plies    5.1s  (8/150)
  [w3]  #8    *       ply cap (400)                       400 plies   17.6s  (9/150)
  [w0]  #5    *       ply cap (400)                       400 plies   17.5s  (10/150)
  [w2]  #19   1-0     Treasure checkmated or captured     119 plies    5.2s  (11/150)
  [w2]  #23   0-1     Party extinct                       168 plies    7.4s  (12/150)
  [w1]  #10   *       ply cap (400)                       400 plies   17.5s  (13/150)
  [w3]  #12   *       ply cap (400)                       400 plies   17.5s  (14/150)
  [w3]  #16   1-0     Treasure checkmated or captured      63 plies    2.8s  (15/150)
  [w0]  #9    *       ply cap (400)                       400 plies   17.5s  (16/150)
  [w2]  #27   0-1     Party extinct                       264 plies   11.6s  (17/150)
  [w1]  #14   0-1     Party extinct                       264 plies   11.6s  (18/150)
  [w1]  #18   1-0     Treasure checkmated or captured      53 plies    2.3s  (19/150)
  [w2]  #31   1-0     Treasure checkmated or captured     195 plies    8.6s  (20/150)
  [w1]  #22   1-0     Treasure checkmated or captured     233 plies   10.2s  (21/150)
  [w3]  #20   *       ply cap (400)                       400 plies   17.5s  (22/150)
  [w0]  #13   *       ply cap (400)                       400 plies   17.5s  (23/150)
  [w3]  #24   1-0     Treasure checkmated or captured     127 plies    5.6s  (24/150)
  [w1]  #26   1-0     Treasure checkmated or captured     207 plies    9.1s  (25/150)
  [w2]  #35   *       ply cap (400)                       400 plies   17.5s  (26/150)
  [w3]  #28   1-0     Treasure checkmated or captured     167 plies    7.4s  (27/150)
  [w0]  #17   *       ply cap (400)                       400 plies   17.6s  (28/150)
  [w3]  #32   1-0     Treasure checkmated or captured     141 plies    6.2s  (29/150)
  [w1]  #30   *       ply cap (400)                       400 plies   17.6s  (30/150)
  [w2]  #39   0-1     Party extinct                       340 plies   15.0s  (31/150)
  [w3]  #36   1-0     Treasure checkmated or captured     289 plies   12.7s  (32/150)
  [w0]  #21   *       ply cap (400)                       400 plies   17.6s  (33/150)
  [w1]  #34   *       ply cap (400)                       400 plies   17.5s  (34/150)
  [w2]  #43   *       ply cap (400)                       400 plies   17.5s  (35/150)
  [w1]  #38   1-0     Treasure checkmated or captured     113 plies    5.0s  (36/150)
  [w3]  #40   *       ply cap (400)                       400 plies   17.5s  (37/150)
  [w3]  #44   0-1     Party has no legal response         102 plies    4.5s  (38/150)
  [w0]  #25   *       ply cap (400)                       400 plies   17.5s  (39/150)
  [w2]  #47   *       ply cap (400)                       400 plies   17.5s  (40/150)
  [w3]  #48   1-0     Treasure checkmated or captured     231 plies   10.1s  (41/150)
  [w1]  #42   *       ply cap (400)                       400 plies   17.5s  (42/150)
  [w3]  #52   0-1     Party extinct                       172 plies    7.6s  (43/150)
  [w0]  #29   *       ply cap (400)                       400 plies   17.5s  (44/150)
  [w0]  #33   1-0     Treasure checkmated or captured     169 plies    7.5s  (45/150)
  [w2]  #51   *       ply cap (400)                       400 plies   17.5s  (46/150)
  [w1]  #46   *       ply cap (400)                       400 plies   17.5s  (47/150)
  [w2]  #55   1-0     Treasure checkmated or captured     195 plies    8.6s  (48/150)
  [w1]  #50   1-0     Treasure checkmated or captured     101 plies    4.5s  (49/150)
  [w3]  #56   *       ply cap (400)                       400 plies   17.6s  (50/150)
  [w1]  #54   1-0     Treasure checkmated or captured      51 plies    2.3s  (51/150)
  [w3]  #60   1-0     Treasure checkmated or captured     119 plies    5.2s  (52/150)
  [w0]  #37   0-1     Party extinct                       374 plies   16.4s  (53/150)
  [w0]  #41   0-1     Party extinct                       114 plies    5.0s  (54/150)
  [w2]  #59   *       ply cap (400)                       400 plies   17.5s  (55/150)
  [w1]  #58   *       ply cap (400)                       400 plies   17.5s  (56/150)
  [w0]  #45   1-0     Treasure checkmated or captured     255 plies   11.2s  (57/150)
  [w3]  #64   *       ply cap (400)                       400 plies   17.5s  (58/150)
  [w0]  #49   1-0     Treasure checkmated or captured      71 plies    3.2s  (59/150)
  [w2]  #63   *       ply cap (400)                       400 plies   17.5s  (60/150)
  [w1]  #62   *       ply cap (400)                       400 plies   17.5s  (61/150)
  [w3]  #68   *       ply cap (400)                       400 plies   17.5s  (62/150)
  [w0]  #53   0-1     Party extinct                       338 plies   14.8s  (63/150)
  [w2]  #67   *       ply cap (400)                       400 plies   17.5s  (64/150)
  [w1]  #66   *       ply cap (400)                       400 plies   17.5s  (65/150)
  [w2]  #71   0-1     Party extinct                        98 plies    4.4s  (66/150)
  [w3]  #72   *       ply cap (400)                       400 plies   17.6s  (67/150)
  [w0]  #57   *       ply cap (400)                       400 plies   17.6s  (68/150)
  [w0]  #61   1-0     Treasure checkmated or captured     125 plies    5.5s  (69/150)
  [w3]  #76   1-0     Treasure checkmated or captured     215 plies    9.4s  (70/150)
  [w0]  #65   0-1     Party extinct                       144 plies    6.3s  (71/150)
  [w1]  #70   *       ply cap (400)                       400 plies   17.5s  (72/150)
  [w2]  #75   *       ply cap (400)                       400 plies   17.5s  (73/150)
  [w3]  #80   *       ply cap (400)                       400 plies   17.5s  (74/150)
  [w0]  #69   *       ply cap (400)                       400 plies   17.5s  (75/150)
  [w1]  #74   *       ply cap (400)                       400 plies   17.5s  (76/150)
  [w2]  #79   *       ply cap (400)                       400 plies   17.5s  (77/150)
  [w3]  #84   *       ply cap (400)                       400 plies   17.5s  (78/150)
  [w0]  #73   *       ply cap (400)                       400 plies   17.5s  (79/150)
  [w1]  #78   *       ply cap (400)                       400 plies   17.5s  (80/150)
  [w2]  #83   *       ply cap (400)                       400 plies   17.5s  (81/150)
  [w0]  #77   1-0     Treasure checkmated or captured     117 plies    5.2s  (82/150)
  [w3]  #88   1-0     Treasure checkmated or captured     305 plies   13.4s  (83/150)
  [w1]  #82   *       ply cap (400)                       400 plies   17.5s  (84/150)
  [w2]  #87   *       ply cap (400)                       400 plies   17.5s  (85/150)
