Match: rule-set 'v4-mf-minion-9'  games=150  depth=6  max-plies=400  openings=150x6plies  seed=20260424  parallel=4
  variants : /var/folders/gb/ns03xtr53539qh0kc35fzv8dxfq40g/T/yes-hybrid/variants-v4-mf-minion-9-98445-786fe78255bf4dffa45b7456d2cc0792.ini
  startFen : 4abtba3/m1mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 150 distinct (requested 150)

  [w3]  #4    1-0     Treasure checkmated or captured      81 plies    3.6s  (1/150)
  [w0]  #1    0-1     Party extinct                       198 plies    8.7s  (2/150)
  [w1]  #2    *       ply cap (400)                       400 plies   17.5s  (3/150)
  [w2]  #3    *       ply cap (400)                       400 plies   17.5s  (4/150)
  [w3]  #8    *       ply cap (400)                       400 plies   17.5s  (5/150)
  [w0]  #5    *       ply cap (400)                       400 plies   17.5s  (6/150)
  [w2]  #7    0-1     Party extinct                       318 plies   14.0s  (7/150)
  [w1]  #6    *       ply cap (400)                       400 plies   17.5s  (8/150)
  [w2]  #11   0-1     Party extinct                       114 plies    5.0s  (9/150)
  [w3]  #12   *       ply cap (400)                       400 plies   17.5s  (10/150)
  [w1]  #10   1-0     Treasure checkmated or captured     159 plies    7.0s  (11/150)
  [w2]  #15   0-1     Party extinct                       148 plies    6.5s  (12/150)
  [w0]  #9    *       ply cap (400)                       400 plies   17.5s  (13/150)
  [w3]  #16   *       ply cap (400)                       400 plies   17.5s  (14/150)
  [w1]  #14   *       ply cap (400)                       400 plies   17.5s  (15/150)
  [w2]  #19   *       ply cap (400)                       400 plies   17.6s  (16/150)
  [w0]  #13   *       ply cap (400)                       400 plies   17.5s  (17/150)
  [w3]  #20   1-0     Treasure checkmated or captured     249 plies   10.9s  (18/150)
  [w1]  #18   *       ply cap (400)                       400 plies   17.5s  (19/150)
  [w2]  #23   *       ply cap (400)                       400 plies   17.5s  (20/150)
  [w0]  #17   *       ply cap (400)                       400 plies   17.5s  (21/150)
  [w3]  #24   0-1     Party extinct                       386 plies   16.9s  (22/150)
  [w3]  #28   0-1     Party extinct                       142 plies    6.2s  (23/150)
  [w3]  #32   0-1     Party extinct                        82 plies    3.6s  (24/150)
  [w1]  #22   *       ply cap (400)                       400 plies   17.5s  (25/150)
  [w2]  #27   *       ply cap (400)                       400 plies   17.5s  (26/150)
  [w0]  #21   *       ply cap (400)                       400 plies   17.5s  (27/150)
  [w3]  #36   1-0     Treasure checkmated or captured      97 plies    4.3s  (28/150)
  [w2]  #31   0-1     Party extinct                       218 plies    9.6s  (29/150)
  [w1]  #26   *       ply cap (400)                       400 plies   17.5s  (30/150)
  [w0]  #25   1-0     Treasure checkmated or captured     399 plies   17.5s  (31/150)
