Match: rule-set 'v4-mf-striker-range'  games=150  depth=6  max-plies=400  openings=150x6plies  seed=20260424  parallel=4
  variants : /var/folders/gb/ns03xtr53539qh0kc35fzv8dxfq40g/T/yes-hybrid/variants-v4-mf-striker-range-98445-10cbc8b00ba24056b1884fb544283903.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 150 distinct (requested 150)

  [w3]  #4    0-1     Party extinct                        82 plies    3.6s  (1/150)
  [w2]  #3    1-0     Treasure checkmated or captured     191 plies    8.4s  (2/150)
  [w1]  #2    *       ply cap (400)                       400 plies   17.5s  (3/150)
  [w0]  #1    *       ply cap (400)                       400 plies   17.5s  (4/150)
  [w3]  #8    *       ply cap (400)                       400 plies   17.5s  (5/150)
  [w2]  #7    *       ply cap (400)                       400 plies   17.6s  (6/150)
  [w3]  #12   0-1     Party extinct                       110 plies    4.9s  (7/150)
  [w0]  #5    1-0     Treasure checkmated or captured     259 plies   11.4s  (8/150)
  [w1]  #6    *       ply cap (400)                       400 plies   17.6s  (9/150)
  [w0]  #9    1-0     Treasure checkmated or captured     167 plies    7.3s  (10/150)
  [w2]  #11   0-1     Party extinct                       268 plies   11.8s  (11/150)
  [w3]  #16   1-0     Treasure checkmated or captured     279 plies   12.3s  (12/150)
  [w1]  #10   *       ply cap (400)                       400 plies   17.5s  (13/150)
  [w1]  #14   1-0     Treasure checkmated or captured       1 plies    0.1s  (14/150)
  [w0]  #13   *       ply cap (400)                       400 plies   17.5s  (15/150)
  [w2]  #15   *       ply cap (400)                       400 plies   17.5s  (16/150)
  [w3]  #20   *       ply cap (400)                       400 plies   17.5s  (17/150)
  [w1]  #18   *       ply cap (400)                       400 plies   17.6s  (18/150)
  [w0]  #17   *       ply cap (400)                       400 plies   17.6s  (19/150)
  [w1]  #22   0-1     Party has no legal response          52 plies    2.3s  (20/150)
  [w2]  #19   *       ply cap (400)                       400 plies   17.6s  (21/150)
  [w3]  #24   1-0     Treasure checkmated or captured     395 plies   17.4s  (22/150)
  [w3]  #28   1-0     Treasure checkmated or captured     123 plies    5.4s  (23/150)
  [w2]  #23   1-0     Treasure checkmated or captured     267 plies   11.8s  (24/150)
  [w0]  #21   *       ply cap (400)                       400 plies   17.6s  (25/150)
  [w1]  #26   *       ply cap (400)                       400 plies   17.6s  (26/150)
  [w2]  #27   0-1     Party has no legal response         130 plies    5.7s  (27/150)
  [w0]  #25   1-0     Treasure checkmated or captured     155 plies    6.8s  (28/150)
  [w3]  #32   *       ply cap (400)                       400 plies   17.6s  (29/150)
  [w1]  #30   *       ply cap (400)                       400 plies   17.5s  (30/150)
  [w2]  #31   *       ply cap (400)                       400 plies   17.5s  (31/150)
  [w0]  #29   1-0     Treasure checkmated or captured     341 plies   15.0s  (32/150)
  [w0]  #33   1-0     Treasure checkmated or captured       1 plies    0.1s  (33/150)
  [w3]  #36   *       ply cap (400)                       400 plies   17.5s  (34/150)
  [w2]  #35   1-0     Treasure checkmated or captured     263 plies   11.5s  (35/150)
  [w1]  #34   *       ply cap (400)                       400 plies   17.6s  (36/150)
  [w0]  #37   1-0     Treasure checkmated or captured     353 plies   15.6s  (37/150)
  [w3]  #40   *       ply cap (400)                       400 plies   17.6s  (38/150)
  [w2]  #39   *       ply cap (400)                       400 plies   17.6s  (39/150)
  [w1]  #38   *       ply cap (400)                       400 plies   17.5s  (40/150)
  [w0]  #41   *       ply cap (400)                       400 plies   17.6s  (41/150)
  [w3]  #44   1-0     Treasure checkmated or captured     333 plies   14.7s  (42/150)
  [w3]  #48   1-0     Treasure checkmated or captured      73 plies    3.2s  (43/150)
  [w1]  #42   1-0     Treasure checkmated or captured     195 plies    8.6s  (44/150)
  [w2]  #43   *       ply cap (400)                       400 plies   17.6s  (45/150)
  [w1]  #46   0-1     Party extinct                       160 plies    7.1s  (46/150)
  [w0]  #45   *       ply cap (400)                       400 plies   17.6s  (47/150)
  [w3]  #52   *       ply cap (400)                       400 plies   17.6s  (48/150)
  [w3]  #56   1-0     Treasure checkmated or captured      91 plies    4.0s  (49/150)
