Match: rule-set 'v5-d8-lurker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v5-d8-lurker-range-62409-d352d2a6124d4e1ea334a7a9a1df7f10.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)

  [w1]  #2    0-1     Party extinct                        38 plies    2.0s  (1/300)
  [w0]  #1    0-1     Party extinct                       144 plies    6.4s  (2/300)
  [w3]  #4    0-1     Party extinct                       302 plies   13.1s  (3/300)
  [w2]  #3    0-1     Party extinct                       518 plies   22.1s  (4/300)
  [w1]  #6    0-1     Party extinct                       568 plies   24.1s  (5/300)
  [w1]  #10   1-0     Treasure checkmated or captured       7 plies    0.6s  (6/300)
  [w0]  #5    *       ply cap (600)                       600 plies   25.6s  (7/300)
  [w1]  #14   0-1     Party extinct                       174 plies    7.7s  (8/300)
  [w2]  #7    0-1     Party extinct                       304 plies   13.1s  (9/300)
  [w3]  #8    *       ply cap (600)                       600 plies   25.6s  (10/300)
  [w1]  #18   0-1     Party extinct                       232 plies   10.1s  (11/300)
  [w2]  #11   0-1     Party extinct                       340 plies   14.6s  (12/300)
  [w1]  #22   0-1     Party extinct                       262 plies   11.3s  (13/300)
  [w0]  #9    *       ply cap (600)                       600 plies   25.4s  (14/300)
  [w2]  #15   *       ply cap (600)                       600 plies   25.4s  (15/300)
  [w1]  #26   *       ply cap (600)                       600 plies   25.4s  (16/300)
  [w2]  #19   0-1     Party extinct                       142 plies    6.3s  (17/300)
  [w0]  #13   *       ply cap (600)                       600 plies   25.4s  (18/300)
  [w0]  #17   0-1     Party extinct                       168 plies    7.4s  (19/300)
  [w1]  #30   0-1     Party extinct                       234 plies   10.2s  (20/300)
  [w0]  #21   0-1     Party extinct                       170 plies    7.5s  (21/300)
  [w2]  #23   *       ply cap (600)                       600 plies   25.4s  (22/300)
  [w2]  #27   0-1     Party extinct                       108 plies    4.8s  (23/300)
  [w0]  #25   0-1     Party extinct                       334 plies   14.3s  (24/300)
  [w1]  #34   *       ply cap (600)                       600 plies   25.4s  (25/300)
  [w2]  #31   0-1     Party extinct                       140 plies    6.2s  (26/300)
  [w1]  #38   1-0     Treasure checkmated or captured     133 plies    5.9s  (27/300)
  [w2]  #35   0-1     Party extinct                       186 plies    8.1s  (28/300)
  [w1]  #42   0-1     Party extinct                       106 plies    4.7s  (29/300)
  [w0]  #29   *       ply cap (600)                       600 plies   25.4s  (30/300)
  [w2]  #39   *       ply cap (600)                       600 plies   25.4s  (31/300)
  [w0]  #33   0-1     Party extinct                       336 plies   14.4s  (32/300)
  [w1]  #46   *       ply cap (600)                       600 plies   25.4s  (33/300)
  [w1]  #50   1-0     Treasure checkmated or captured       7 plies    0.6s  (34/300)
  [w1]  #54   0-1     Party extinct                       116 plies    5.2s  (35/300)
  [w3]  #12   *       engine timeout                      148 plies  126.5s  (36/300)
  [w3]  #16   0-1     Party extinct                       106 plies    4.8s  (37/300)
  [w2]  #43   *       ply cap (600)                       600 plies   25.4s  (38/300)
  [w0]  #37   *       ply cap (600)                       600 plies   25.4s  (39/300)
  [w1]  #58   *       ply cap (600)                       600 plies   25.4s  (40/300)
  [w0]  #41   0-1     Party extinct                       206 plies    9.0s  (41/300)
  [w2]  #47   0-1     Party extinct                       362 plies   15.5s  (42/300)
  [w3]  #20   *       ply cap (600)                       600 plies   25.5s  (43/300)
  [w0]  #45   0-1     Party extinct                       240 plies   10.6s  (44/300)
  [w3]  #24   0-1     Party extinct                       174 plies    7.7s  (45/300)
  [w1]  #62   *       ply cap (600)                       600 plies   25.5s  (46/300)
  [w1]  #66   0-1     Party extinct                       128 plies    5.7s  (47/300)
  [w2]  #51   *       ply cap (600)                       600 plies   25.5s  (48/300)
  [w3]  #28   0-1     Party extinct                       436 plies   18.7s  (49/300)
  [w0]  #49   *       ply cap (600)                       600 plies   25.6s  (50/300)
  [w3]  #32   0-1     Party extinct                       124 plies    5.7s  (51/300)
  [w1]  #70   *       ply cap (600)                       600 plies   26.6s  (52/300)
  [w2]  #55   0-1     Party extinct                       558 plies   24.7s  (53/300)
  [w3]  #36   0-1     Party extinct                       478 plies   21.3s  (54/300)
  [w0]  #53   *       ply cap (600)                       600 plies   26.6s  (55/300)
  [w1]  #74   0-1     Party extinct                       178 plies    8.1s  (56/300)
  [w2]  #59   1-0     Treasure checkmated or captured     327 plies   14.7s  (57/300)
  [w1]  #78   0-1     Party extinct                       216 plies    9.9s  (58/300)
  [w2]  #63   0-1     Party extinct                       216 plies    9.8s  (59/300)
  [w0]  #57   0-1     Party extinct                       412 plies   18.4s  (60/300)
  [w1]  #82   0-1     Party extinct                       226 plies   10.3s  (61/300)
  [w0]  #61   0-1     Party extinct                        66 plies    3.2s  (62/300)
  [w3]  #40   *       ply cap (600)                       600 plies   26.6s  (63/300)
  [w0]  #65   1-0     Treasure checkmated or captured     179 plies    8.1s  (64/300)
  [w2]  #67   0-1     Party extinct                       402 plies   18.0s  (65/300)
  [w3]  #44   0-1     Party extinct                       306 plies   13.7s  (66/300)
  [w3]  #48   0-1     Party extinct                       148 plies    6.8s  (67/300)
  [w1]  #86   0-1     Party extinct                       594 plies   26.4s  (68/300)
  [w0]  #69   *       ply cap (600)                       600 plies   26.6s  (69/300)
  [w2]  #71   0-1     Party extinct                       496 plies   22.1s  (70/300)
  [w1]  #90   0-1     Party extinct                       348 plies   15.7s  (71/300)
  [w0]  #73   0-1     Party extinct                       166 plies    7.6s  (72/300)
  [w2]  #75   0-1     Party extinct                       302 plies   13.7s  (73/300)
  [w3]  #52   *       ply cap (600)                       600 plies   26.6s  (74/300)
  [w1]  #94   0-1     Party extinct                       424 plies   19.0s  (75/300)
  [w0]  #77   0-1     Party extinct                       518 plies   23.1s  (76/300)
  [w1]  #98   0-1     Party extinct                       136 plies    6.3s  (77/300)
  [w1]  #102  0-1     Party extinct                        76 plies    3.6s  (78/300)
  [w1]  #106  0-1     Party extinct                       130 plies    6.0s  (79/300)
