Match: rule-set 'v5-d8-minion-9'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/gb/ns03xtr53539qh0kc35fzv8dxfq40g/T/yes-hybrid/variants-v5-d8-minion-9-6972-1415d66083474cbfa185e6e952dbedd4.ini
  startFen : 4abtba3/m1mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)

  [w1]  #2    0-1     Party extinct                       104 plies    4.6s  (1/300)
  [w1]  #6    0-1     Party extinct                       102 plies    4.6s  (2/300)
  [w0]  #1    0-1     Party extinct                       310 plies   13.2s  (3/300)
  [w3]  #4    *       ply cap (600)                       600 plies   25.2s  (4/300)
  [w2]  #3    *       ply cap (600)                       600 plies   25.3s  (5/300)
  [w3]  #8    0-1     Party extinct                       204 plies    8.8s  (6/300)
  [w1]  #10   *       ply cap (600)                       600 plies   26.0s  (7/300)
  [w0]  #5    *       ply cap (600)                       600 plies   25.6s  (8/300)
  [w3]  #12   0-1     Party extinct                       384 plies   16.3s  (9/300)
  [w2]  #7    *       ply cap (600)                       600 plies   25.4s  (10/300)
  [w1]  #14   *       ply cap (600)                       600 plies   25.4s  (11/300)
  [w3]  #16   0-1     Party extinct                       254 plies   10.8s  (12/300)
  [w0]  #9    *       ply cap (600)                       600 plies   25.4s  (13/300)
  [w1]  #18   1-0     Treasure checkmated or captured     113 plies    5.1s  (14/300)
  [w2]  #11   0-1     Party extinct                       424 plies   17.9s  (15/300)
  [w3]  #20   0-1     Party extinct                       392 plies   16.9s  (16/300)
  [w0]  #13   *       ply cap (600)                       600 plies   25.4s  (17/300)
  [w1]  #22   0-1     Party extinct                       582 plies   24.6s  (18/300)
  [w0]  #17   1-0     Treasure checkmated or captured      51 plies    2.4s  (19/300)
  [w2]  #15   0-1     Party extinct                       594 plies   25.2s  (20/300)
  [w3]  #24   *       ply cap (600)                       600 plies   25.3s  (21/300)
  [w1]  #26   *       ply cap (600)                       600 plies   25.4s  (22/300)
  [w0]  #21   *       ply cap (600)                       600 plies   25.2s  (23/300)
  [w3]  #28   0-1     Party extinct                       370 plies   15.8s  (24/300)
  [w2]  #19   *       ply cap (600)                       600 plies   25.5s  (25/300)
  [w0]  #25   0-1     Party extinct                       272 plies   11.5s  (26/300)
  [w0]  #29   1-0     Treasure checkmated or captured      93 plies    4.0s  (27/300)
  [w2]  #23   0-1     Party extinct                       434 plies   18.3s  (28/300)
  [w1]  #30   *       ply cap (600)                       600 plies   25.3s  (29/300)
