Match: rule-set 'v5-d8-striker-range'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v5-d8-striker-range-61864-63420651273245b8aa72ececc2aeaad1.ini
  startFen : 4abtba3/2mubmbumm2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)

  [w3]  #4    0-1     Party extinct                       110 plies    5.0s  (1/300)
  [w2]  #3    1-0     Treasure checkmated or captured     141 plies    6.3s  (2/300)
  [w2]  #7    0-1     Party extinct                       240 plies   10.4s  (3/300)
  [w0]  #1    *       ply cap (600)                       600 plies   25.5s  (4/300)
  [w1]  #2    *       ply cap (600)                       600 plies   25.6s  (5/300)
  [w3]  #8    *       ply cap (600)                       600 plies   25.5s  (6/300)
  [w2]  #11   0-1     Party extinct                       378 plies   16.2s  (7/300)
  [w0]  #5    *       ply cap (600)                       600 plies   25.5s  (8/300)
  [w1]  #6    *       ply cap (600)                       600 plies   25.6s  (9/300)
  [w3]  #12   0-1     Party extinct                       586 plies   24.9s  (10/300)
  [w0]  #9    1-0     Treasure checkmated or captured     159 plies    7.0s  (11/300)
  [w2]  #15   *       ply cap (600)                       600 plies   25.7s  (12/300)
  [w1]  #10   *       ply cap (600)                       600 plies   25.5s  (13/300)
  [w1]  #14   1-0     Treasure checkmated or captured       1 plies    0.4s  (14/300)
  [w3]  #16   *       ply cap (600)                       600 plies   25.6s  (15/300)
  [w0]  #13   *       ply cap (600)                       600 plies   25.5s  (16/300)
  [w2]  #19   *       ply cap (600)                       600 plies   25.7s  (17/300)
  [w0]  #17   0-1     Party extinct                        76 plies    3.5s  (18/300)
  [w3]  #20   0-1     Party extinct                       194 plies    8.5s  (19/300)
  [w1]  #18   0-1     Party extinct                       348 plies   15.0s  (20/300)
  [w2]  #23   0-1     Party extinct                       248 plies   10.8s  (21/300)
  [w0]  #21   0-1     Party extinct                       268 plies   11.6s  (22/300)
  [w1]  #22   0-1     Party extinct                       184 plies    8.1s  (23/300)
  [w3]  #24   *       ply cap (600)                       600 plies   25.5s  (24/300)
  [w2]  #27   0-1     Party extinct                       500 plies   21.4s  (25/300)
  [w0]  #25   *       ply cap (600)                       600 plies   25.7s  (26/300)
  [w1]  #26   *       ply cap (600)                       600 plies   25.5s  (27/300)
