Match: rule-set 'v6-d8-minion-6-lurker-n-plus'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v6-d8-minion-6-lurker-n-plus-66686-f1d642067f44467f8eb95e25213638b2.ini
  startFen : 4abtba3/2mubmbu4/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)

  [w1]  #2    1-0     Treasure checkmated or captured     145 plies    6.4s  (1/300)
  [w2]  #3    1-0     Treasure checkmated or captured     269 plies   11.7s  (2/300)
  [w2]  #7    1-0     Treasure checkmated or captured      83 plies    3.8s  (3/300)
  [w0]  #1    0-1     Party extinct                       562 plies   24.0s  (4/300)
  [w3]  #4    *       ply cap (600)                       600 plies   25.6s  (5/300)
  [w0]  #5    1-0     Treasure checkmated or captured     127 plies    5.8s  (6/300)
  [w1]  #6    *       ply cap (600)                       600 plies   25.6s  (7/300)
  [w3]  #8    1-0     Treasure checkmated or captured     179 plies    8.0s  (8/300)
  [w2]  #11   *       ply cap (600)                       600 plies   25.6s  (9/300)
  [w0]  #9    *       ply cap (600)                       600 plies   25.6s  (10/300)
  [w1]  #10   *       ply cap (600)                       600 plies   25.5s  (11/300)
  [w3]  #12   *       ply cap (600)                       600 plies   25.5s  (12/300)
  [w2]  #15   1-0     Treasure checkmated or captured     583 plies   24.8s  (13/300)
  [w3]  #16   1-0     Treasure checkmated or captured     205 plies    8.9s  (14/300)
  [w0]  #13   0-1     Party extinct                       310 plies   13.3s  (15/300)
  [w1]  #14   1-0     Treasure checkmated or captured     345 plies   14.8s  (16/300)
  [w0]  #17   1-0     Treasure checkmated or captured     205 plies    8.9s  (17/300)
  [w2]  #19   1-0     Treasure checkmated or captured     407 plies   17.4s  (18/300)
  [w0]  #21   1-0     Treasure checkmated or captured     311 plies   13.4s  (19/300)
  [w3]  #20   *       ply cap (600)                       600 plies   25.5s  (20/300)
  [w1]  #18   1-0     Treasure checkmated or captured     511 plies   21.8s  (21/300)
  [w0]  #25   1-0     Treasure checkmated or captured     135 plies    6.0s  (22/300)
  [w1]  #22   1-0     Treasure checkmated or captured     101 plies    4.6s  (23/300)
  [w3]  #24   1-0     Treasure checkmated or captured     279 plies   12.0s  (24/300)
  [w2]  #23   *       ply cap (600)                       600 plies   25.5s  (25/300)
  [w1]  #26   1-0     Treasure checkmated or captured     397 plies   17.0s  (26/300)
  [w2]  #27   0-1     Party extinct                       156 plies    6.9s  (27/300)
  [w0]  #29   *       ply cap (600)                       600 plies   25.4s  (28/300)
  [w3]  #28   0-1     Party extinct                       438 plies   18.7s  (29/300)
  [w2]  #31   1-0     Treasure checkmated or captured     233 plies   10.1s  (30/300)
  [w1]  #30   1-0     Treasure checkmated or captured     345 plies   14.9s  (31/300)
  [w3]  #32   1-0     Treasure checkmated or captured     239 plies   10.3s  (32/300)
  [w0]  #33   1-0     Treasure checkmated or captured     285 plies   12.3s  (33/300)
  [w1]  #34   1-0     Treasure checkmated or captured     131 plies    5.8s  (34/300)
  [w2]  #35   1-0     Treasure checkmated or captured     441 plies   18.8s  (35/300)
  [w1]  #38   1-0     Treasure checkmated or captured     209 plies    9.1s  (36/300)
  [w3]  #36   1-0     Treasure checkmated or captured     253 plies   10.9s  (37/300)
  [w1]  #42   1-0     Treasure checkmated or captured     131 plies    5.8s  (38/300)
  [w3]  #40   0-1     Party has no legal response         204 plies    8.9s  (39/300)
  [w0]  #37   1-0     Treasure checkmated or captured     481 plies   20.5s  (40/300)
  [w2]  #39   1-0     Treasure checkmated or captured     309 plies   13.2s  (41/300)
  [w1]  #46   1-0     Treasure checkmated or captured     187 plies    8.2s  (42/300)
  [w0]  #41   0-1     Party has no legal response         156 plies    6.9s  (43/300)
  [w3]  #44   0-1     Party extinct                       212 plies    9.2s  (44/300)
  [w1]  #50   0-1     Party extinct                       306 plies   13.1s  (45/300)
  [w1]  #54   0-1     Party has no legal response         134 plies    5.9s  (46/300)
  [w0]  #45   *       ply cap (600)                       600 plies   25.4s  (47/300)
  [w1]  #58   1-0     Treasure checkmated or captured     239 plies   10.3s  (48/300)
  [w0]  #49   0-1     Party extinct                       110 plies    4.9s  (49/300)
  [w1]  #62   1-0     Treasure checkmated or captured     215 plies    9.3s  (50/300)
  [w1]  #66   1-0     Treasure checkmated or captured     125 plies    5.6s  (51/300)
  [w0]  #53   0-1     Party extinct                       426 plies   18.2s  (52/300)
  [w1]  #70   0-1     Party extinct                       184 plies    8.1s  (53/300)
  [w1]  #74   1-0     Treasure checkmated or captured     497 plies   21.3s  (54/300)
  [w0]  #57   *       ply cap (600)                       600 plies   25.6s  (55/300)
  [w1]  #78   1-0     Treasure checkmated or captured     257 plies   11.2s  (56/300)
  [w0]  #61   1-0     Treasure checkmated or captured     195 plies    8.5s  (57/300)
  [w0]  #65   0-1     Party extinct                       202 plies    8.8s  (58/300)
  [w1]  #82   0-1     Party extinct                       454 plies   19.4s  (59/300)
  [w0]  #69   0-1     Party extinct                       482 plies   20.6s  (60/300)
  [w2]  #43   *       engine timeout                       76 plies  123.5s  (61/300)
  [w0]  #73   1-0     Treasure checkmated or captured     323 plies   13.9s  (62/300)
  [w1]  #86   *       ply cap (600)                       600 plies   25.5s  (63/300)
  [w3]  #48   *       engine timeout                      144 plies  126.3s  (64/300)
  [w0]  #77   0-1     Party extinct                       170 plies    7.4s  (65/300)
  [w1]  #90   1-0     Treasure checkmated or captured     161 plies    7.1s  (66/300)
  [w3]  #52   1-0     Treasure checkmated or captured     193 plies    8.5s  (67/300)
  [w1]  #94   1-0     Treasure checkmated or captured     169 plies    7.5s  (68/300)
  [w2]  #47   0-1     Party extinct                       540 plies   22.9s  (69/300)
  [w3]  #56   1-0     Treasure checkmated or captured     201 plies    8.8s  (70/300)
  [w2]  #51   1-0     Treasure checkmated or captured     165 plies    7.2s  (71/300)
  [w1]  #98   1-0     Treasure checkmated or captured     219 plies    9.5s  (72/300)
  [w1]  #102  0-1     Party extinct                       158 plies    6.9s  (73/300)
  [w0]  #81   *       ply cap (600)                       600 plies   25.4s  (74/300)
  [w1]  #106  1-0     Treasure checkmated or captured     169 plies    7.4s  (75/300)
  [w3]  #60   *       ply cap (600)                       600 plies   25.7s  (76/300)
  [w2]  #55   1-0     Treasure checkmated or captured     535 plies   22.8s  (77/300)
  [w0]  #85   1-0     Treasure checkmated or captured     313 plies   13.4s  (78/300)
  [w1]  #110  1-0     Treasure checkmated or captured     243 plies   10.5s  (79/300)
  [w3]  #64   1-0     Treasure checkmated or captured     135 plies    6.0s  (80/300)
  [w0]  #89   0-1     Party extinct                       186 plies    8.1s  (81/300)
  [w1]  #114  1-0     Treasure checkmated or captured     103 plies    4.6s  (82/300)
  [w2]  #59   1-0     Treasure checkmated or captured     223 plies    9.7s  (83/300)
  [w3]  #68   1-0     Treasure checkmated or captured     293 plies   12.6s  (84/300)
  [w2]  #63   1-0     Treasure checkmated or captured     243 plies   10.7s  (85/300)
  [w0]  #93   1-0     Treasure checkmated or captured     407 plies   17.4s  (86/300)
  [w2]  #67   0-1     Party extinct                       120 plies    5.4s  (87/300)
  [w0]  #97   1-0     Treasure checkmated or captured     137 plies    6.1s  (88/300)
  [w2]  #71   0-1     Party extinct                       166 plies    7.3s  (89/300)
  [w1]  #118  *       ply cap (600)                       600 plies   25.5s  (90/300)
  [w2]  #75   1-0     Treasure checkmated or captured     133 plies    5.9s  (91/300)
  [w0]  #101  1-0     Treasure checkmated or captured     169 plies    7.4s  (92/300)
  [w3]  #72   *       ply cap (600)                       600 plies   25.5s  (93/300)
  [w1]  #122  1-0     Treasure checkmated or captured     231 plies   10.0s  (94/300)
  [w0]  #105  0-1     Party has no legal response         210 plies    9.1s  (95/300)
  [w1]  #126  1-0     Treasure checkmated or captured     189 plies    8.2s  (96/300)
  [w2]  #79   1-0     Treasure checkmated or captured     317 plies   13.6s  (97/300)
  [w0]  #109  1-0     Treasure checkmated or captured     157 plies    6.9s  (98/300)
  [w1]  #130  1-0     Treasure checkmated or captured     131 plies    5.8s  (99/300)
  [w1]  #134  1-0     Treasure checkmated or captured     233 plies   10.1s  (100/300)
  [w3]  #76   *       ply cap (600)                       600 plies   25.5s  (101/300)
  [w2]  #83   1-0     Treasure checkmated or captured     513 plies   21.9s  (102/300)
  [w1]  #138  1-0     Treasure checkmated or captured     251 plies   10.9s  (103/300)
  [w0]  #113  *       ply cap (600)                       600 plies   25.6s  (104/300)
  [w3]  #80   1-0     Treasure checkmated or captured     315 plies   13.6s  (105/300)
  [w0]  #117  1-0     Treasure checkmated or captured     325 plies   14.0s  (106/300)
  [w1]  #142  1-0     Treasure checkmated or captured     379 plies   16.2s  (107/300)
  [w2]  #87   *       ply cap (600)                       600 plies   25.5s  (108/300)
  [w2]  #91   1-0     Treasure checkmated or captured       1 plies    0.3s  (109/300)
  [w0]  #121  1-0     Treasure checkmated or captured     277 plies   11.9s  (110/300)
  [w3]  #84   *       ply cap (600)                       600 plies   25.5s  (111/300)
  [w3]  #88   0-1     Party has no legal response          82 plies    3.8s  (112/300)
  [w0]  #125  1-0     Treasure checkmated or captured     231 plies   10.1s  (113/300)
  [w1]  #146  *       ply cap (600)                       600 plies   25.5s  (114/300)
  [w2]  #95   *       ply cap (600)                       600 plies   25.6s  (115/300)
  [w1]  #150  1-0     Treasure checkmated or captured     289 plies   12.5s  (116/300)
  [w3]  #92   *       ply cap (600)                       600 plies   25.5s  (117/300)
  [w0]  #129  *       ply cap (600)                       600 plies   25.4s  (118/300)
  [w0]  #133  1-0     Treasure checkmated or captured     175 plies    7.7s  (119/300)
  [w2]  #99   *       ply cap (600)                       600 plies   25.5s  (120/300)
  [w3]  #96   1-0     Treasure checkmated or captured     389 plies   16.6s  (121/300)
  [w1]  #154  *       ply cap (600)                       600 plies   25.5s  (122/300)
  [w2]  #103  0-1     Party extinct                       328 plies   14.1s  (123/300)
  [w0]  #137  *       ply cap (600)                       600 plies   25.7s  (124/300)
  [w1]  #158  1-0     Treasure checkmated or captured     397 plies   17.1s  (125/300)
  [w2]  #107  1-0     Treasure checkmated or captured     247 plies   10.7s  (126/300)
  [w3]  #100  *       ply cap (600)                       600 plies   25.5s  (127/300)
  [w0]  #141  1-0     Treasure checkmated or captured     185 plies    8.1s  (128/300)
  [w1]  #162  1-0     Treasure checkmated or captured     215 plies    9.3s  (129/300)
  [w3]  #104  1-0     Treasure checkmated or captured     165 plies    7.2s  (130/300)
  [w1]  #166  1-0     Treasure checkmated or captured     147 plies    6.5s  (131/300)
