Match: rule-set 'v6-d8-minion-6-shortcap'  games=300  depth=8  max-plies=400  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v6-d8-minion-6-shortcap-66686-a95843f14944435aa272f3e0cd659660.ini
  startFen : 4abtba3/2mubmbu4/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)

  [w1]  #2    0-1     Party extinct                       114 plies    5.3s  (1/300)
  [w3]  #4    0-1     Party extinct                       292 plies   13.1s  (2/300)
  [w2]  #3    0-1     Party extinct                       346 plies   15.5s  (3/300)
  [w0]  #1    *       ply cap (400)                       400 plies   17.8s  (4/300)
  [w1]  #6    *       ply cap (400)                       400 plies   17.8s  (5/300)
  [w3]  #8    *       ply cap (400)                       400 plies   17.8s  (6/300)
  [w2]  #7    *       ply cap (400)                       400 plies   17.7s  (7/300)
  [w0]  #5    *       ply cap (400)                       400 plies   17.7s  (8/300)
  [w3]  #12   1-0     Treasure checkmated or captured     187 plies    8.5s  (9/300)
  [w1]  #10   *       ply cap (400)                       400 plies   17.8s  (10/300)
  [w2]  #11   1-0     Treasure checkmated or captured     195 plies    8.9s  (11/300)
  [w3]  #16   1-0     Treasure checkmated or captured     117 plies    5.4s  (12/300)
  [w0]  #9    *       ply cap (400)                       400 plies   17.8s  (13/300)
  [w1]  #14   *       ply cap (400)                       400 plies   17.8s  (14/300)
  [w2]  #15   *       ply cap (400)                       400 plies   17.8s  (15/300)
  [w3]  #20   1-0     Treasure checkmated or captured     355 plies   15.9s  (16/300)
  [w0]  #13   1-0     Treasure checkmated or captured     241 plies   10.9s  (17/300)
  [w1]  #18   *       ply cap (400)                       400 plies   17.8s  (18/300)
  [w2]  #19   *       ply cap (400)                       400 plies   17.8s  (19/300)
  [w3]  #24   *       ply cap (400)                       400 plies   17.7s  (20/300)
  [w1]  #22   0-1     Party extinct                       194 plies    8.8s  (21/300)
  [w3]  #28   0-1     Party extinct                       236 plies   10.6s  (22/300)
  [w2]  #23   1-0     Treasure checkmated or captured     311 plies   13.8s  (23/300)
  [w2]  #27   0-1     Party extinct                       178 plies    8.0s  (24/300)
  [w1]  #26   *       ply cap (400)                       400 plies   17.7s  (25/300)
