Match: rule-set 'v6-d8-minion-placement-j7-only'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260424  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v6-d8-minion-placement-j7-only-66686-4bee248b3b8f4616b88b2962659fbddf.ini
  startFen : 4abtba3/2mubmbu1m2/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)

  [w0]  #1    0-1     Party extinct                       142 plies    6.3s  (1/300)
  [w0]  #5    0-1     Party extinct                       330 plies   14.2s  (2/300)
  [w3]  #4    *       ply cap (600)                       600 plies   25.5s  (3/300)
  [w1]  #2    *       ply cap (600)                       600 plies   25.5s  (4/300)
  [w2]  #3    *       ply cap (600)                       600 plies   25.5s  (5/300)
  [w0]  #9    *       ply cap (600)                       600 plies   25.5s  (6/300)
  [w3]  #8    0-1     Party extinct                       496 plies   21.2s  (7/300)
  [w1]  #6    0-1     Party extinct                       594 plies   25.4s  (8/300)
  [w2]  #7    *       ply cap (600)                       600 plies   25.5s  (9/300)
  [w3]  #12   0-1     Party extinct                       364 plies   15.6s  (10/300)
  [w2]  #11   1-0     Treasure checkmated or captured     465 plies   20.0s  (11/300)
  [w0]  #13   *       ply cap (600)                       600 plies   25.5s  (12/300)
  [w1]  #10   *       ply cap (600)                       600 plies   25.5s  (13/300)
  [w3]  #16   1-0     Treasure checkmated or captured     455 plies   19.5s  (14/300)
  [w2]  #15   *       ply cap (600)                       600 plies   25.5s  (15/300)
  [w0]  #17   *       ply cap (600)                       600 plies   25.5s  (16/300)
  [w1]  #14   *       ply cap (600)                       600 plies   25.5s  (17/300)
  [w0]  #21   0-1     Party extinct                       154 plies    6.9s  (18/300)
  [w3]  #20   0-1     Party extinct                       542 plies   23.1s  (19/300)
  [w3]  #24   1-0     Treasure checkmated or captured     203 plies    8.9s  (20/300)
  [w1]  #18   0-1     Party extinct                       286 plies   12.3s  (21/300)
  [w0]  #25   0-1     Party extinct                       322 plies   13.9s  (22/300)
  [w2]  #19   *       ply cap (600)                       600 plies   25.5s  (23/300)
  [w0]  #29   0-1     Party extinct                       462 plies   19.7s  (24/300)
  [w1]  #22   *       ply cap (600)                       600 plies   25.5s  (25/300)
  [w2]  #23   *       ply cap (600)                       600 plies   25.4s  (26/300)
  [w2]  #27   0-1     Party has no legal response          30 plies    1.6s  (27/300)
  [w0]  #33   0-1     Party extinct                       272 plies   11.7s  (28/300)
  [w1]  #26   0-1     Party extinct                       260 plies   11.2s  (29/300)
  [w2]  #31   0-1     Party extinct                       150 plies    6.6s  (30/300)
  [w1]  #30   0-1     Party extinct                       394 plies   16.8s  (31/300)
  [w0]  #37   *       ply cap (600)                       600 plies   25.4s  (32/300)
  [w2]  #35   *       ply cap (600)                       600 plies   25.4s  (33/300)
  [w1]  #34   *       ply cap (600)                       600 plies   25.4s  (34/300)
  [w1]  #38   1-0     Treasure checkmated or captured       1 plies    0.3s  (35/300)
  [w0]  #41   *       ply cap (600)                       600 plies   25.4s  (36/300)
  [w2]  #39   *       ply cap (600)                       600 plies   25.4s  (37/300)
  [w1]  #42   *       ply cap (600)                       600 plies   25.4s  (38/300)
  [w0]  #45   *       ply cap (600)                       600 plies   25.4s  (39/300)
  [w2]  #43   *       ply cap (600)                       600 plies   25.4s  (40/300)
  [w3]  #28   *       engine timeout                      116 plies  125.1s  (41/300)
  [w1]  #46   *       ply cap (600)                       600 plies   25.4s  (42/300)
  [w3]  #32   0-1     Party extinct                       204 plies    8.9s  (43/300)
  [w2]  #47   *       ply cap (600)                       600 plies   25.4s  (44/300)
  [w2]  #51   0-1     Party extinct                       254 plies   11.0s  (45/300)
  [w1]  #50   *       ply cap (600)                       600 plies   25.5s  (46/300)
  [w3]  #36   *       ply cap (600)                       600 plies   25.5s  (47/300)
  [w1]  #54   0-1     Party extinct                       190 plies    8.2s  (48/300)
  [w2]  #55   0-1     Party extinct                       452 plies   19.3s  (49/300)
  [w3]  #40   0-1     Party extinct                       464 plies   19.8s  (50/300)
  [w2]  #59   0-1     Party extinct                       178 plies    7.8s  (51/300)
  [w1]  #58   *       ply cap (600)                       600 plies   25.5s  (52/300)
  [w3]  #44   0-1     Party extinct                       588 plies   24.9s  (53/300)
  [w2]  #63   *       ply cap (600)                       600 plies   25.6s  (54/300)
  [w1]  #62   *       ply cap (600)                       600 plies   25.5s  (55/300)
  [w3]  #48   1-0     Treasure checkmated or captured     329 plies   14.2s  (56/300)
  [w1]  #66   0-1     Party extinct                       326 plies   14.1s  (57/300)
  [w2]  #67   *       ply cap (600)                       600 plies   25.5s  (58/300)
  [w3]  #52   *       ply cap (600)                       600 plies   25.4s  (59/300)
  [w1]  #70   0-1     Party extinct                       562 plies   23.8s  (60/300)
  [w0]  #49   *       engine timeout                      589 plies  145.0s  (61/300)
  [w2]  #71   *       ply cap (600)                       600 plies   25.5s  (62/300)
  [w1]  #74   0-1     Party extinct                       336 plies   14.4s  (63/300)
  [w3]  #56   *       ply cap (600)                       600 plies   25.5s  (64/300)
  [w3]  #60   0-1     Party extinct                       154 plies    6.8s  (65/300)
  [w0]  #53   *       ply cap (600)                       600 plies   25.5s  (66/300)
  [w2]  #75   *       ply cap (600)                       600 plies   25.5s  (67/300)
  [w1]  #78   0-1     Party extinct                       404 plies   17.3s  (68/300)
  [w0]  #57   1-0     Treasure checkmated or captured     129 plies    5.8s  (69/300)
  [w3]  #64   0-1     Party extinct                       288 plies   12.4s  (70/300)
  [w2]  #79   *       ply cap (600)                       600 plies   25.6s  (71/300)
  [w1]  #82   *       ply cap (600)                       600 plies   25.5s  (72/300)
  [w0]  #61   *       ply cap (600)                       600 plies   25.5s  (73/300)
  [w3]  #68   *       ply cap (600)                       600 plies   25.5s  (74/300)
  [w2]  #83   1-0     Treasure checkmated or captured     263 plies   11.4s  (75/300)
  [w0]  #65   0-1     Party extinct                       364 plies   15.6s  (76/300)
  [w3]  #72   0-1     Party extinct                       506 plies   21.6s  (77/300)
  [w1]  #86   *       ply cap (600)                       600 plies   25.5s  (78/300)
  [w2]  #87   *       ply cap (600)                       600 plies   25.5s  (79/300)
  [w2]  #91   1-0     Treasure checkmated or captured       1 plies    0.3s  (80/300)
  [w0]  #69   *       ply cap (600)                       600 plies   25.5s  (81/300)
  [w3]  #76   0-1     Party extinct                       572 plies   24.3s  (82/300)
  [w1]  #90   *       ply cap (600)                       600 plies   25.4s  (83/300)
  [w3]  #80   0-1     Party extinct                       272 plies   11.8s  (84/300)
  [w2]  #95   *       ply cap (600)                       600 plies   25.6s  (85/300)
  [w0]  #73   *       ply cap (600)                       600 plies   25.5s  (86/300)
  [w3]  #84   0-1     Party extinct                       224 plies    9.7s  (87/300)
  [w1]  #94   *       ply cap (600)                       600 plies   25.5s  (88/300)
  [w0]  #77   0-1     Party extinct                       338 plies   14.6s  (89/300)
