Match: rule-set 'v7-d8-spsa-base-best'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260426  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v7-d8-spsa-base-best-80283-6df81a7128a54b7280e41d7afc3c57eb.ini
  startFen : 4abtba3/2mubmbu4/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)

  [w1]  #2    1-0     Treasure checkmated or captured     155 plies    6.9s  (1/300)
  [w3]  #4    1-0     Treasure checkmated or captured     163 plies    7.2s  (2/300)
  [w2]  #3    1-0     Treasure checkmated or captured     167 plies    7.4s  (3/300)
  [w0]  #1    0-1     Party extinct                       176 plies    7.7s  (4/300)
  [w0]  #5    0-1     Party has no legal response          98 plies    4.4s  (5/300)
  [w1]  #6    0-1     Party extinct                       140 plies    6.2s  (6/300)
  [w2]  #7    1-0     Treasure checkmated or captured     133 plies    5.9s  (7/300)
  [w3]  #8    1-0     Treasure checkmated or captured     163 plies    7.1s  (8/300)
  [w0]  #9    1-0     Treasure checkmated or captured     131 plies    5.9s  (9/300)
  [w3]  #12   0-1     Party extinct                       200 plies    8.7s  (10/300)
  [w1]  #10   0-1     Party extinct                       238 plies   10.3s  (11/300)
  [w0]  #13   1-0     Treasure checkmated or captured     187 plies    8.1s  (12/300)
  [w3]  #16   0-1     Party extinct                       176 plies    7.7s  (13/300)
  [w1]  #14   0-1     Party extinct                       274 plies   11.8s  (14/300)
  [w0]  #17   0-1     Party extinct                       242 plies   10.5s  (15/300)
  [w2]  #11   *       ply cap (600)                       600 plies   25.5s  (16/300)
  [w3]  #20   0-1     Party extinct                       188 plies    8.2s  (17/300)
  [w1]  #18   0-1     Party extinct                       168 plies    7.4s  (18/300)
  [w0]  #21   0-1     Party extinct                       154 plies    6.7s  (19/300)
  [w1]  #22   1-0     Treasure checkmated or captured      19 plies    1.2s  (20/300)
  [w2]  #15   0-1     Party extinct                       192 plies    8.4s  (21/300)
  [w3]  #24   0-1     Party extinct                       188 plies    8.2s  (22/300)
  [w1]  #26   0-1     Party has no legal response         124 plies    5.5s  (23/300)
  [w1]  #30   0-1     Party extinct                       100 plies    4.6s  (24/300)
  [w2]  #19   0-1     Party extinct                       170 plies    7.4s  (25/300)
  [w0]  #25   0-1     Party extinct                       282 plies   12.1s  (26/300)
  [w0]  #29   0-1     Party extinct                        98 plies    4.4s  (27/300)
  [w0]  #33   0-1     Party has no legal response          52 plies    2.5s  (28/300)
  [w3]  #28   0-1     Party extinct                       366 plies   15.7s  (29/300)
  [w2]  #23   0-1     Party extinct                       356 plies   15.3s  (30/300)
  [w1]  #34   1-0     Treasure checkmated or captured     387 plies   16.6s  (31/300)
  [w0]  #37   1-0     Treasure checkmated or captured     195 plies    8.5s  (32/300)
  [w3]  #32   1-0     Treasure checkmated or captured     187 plies    8.2s  (33/300)
  [w0]  #41   1-0     Treasure checkmated or captured     131 plies    5.8s  (34/300)
  [w3]  #36   0-1     Party extinct                       164 plies    7.2s  (35/300)
  [w2]  #27   1-0     Treasure checkmated or captured     245 plies   10.6s  (36/300)
  [w2]  #31   1-0     Treasure checkmated or captured     115 plies    5.1s  (37/300)
  [w3]  #40   0-1     Party extinct                       170 plies    7.5s  (38/300)
  [w0]  #45   1-0     Treasure checkmated or captured     219 plies    9.5s  (39/300)
  [w2]  #35   0-1     Party extinct                       168 plies    7.3s  (40/300)
  [w3]  #44   0-1     Party extinct                       170 plies    7.5s  (41/300)
  [w1]  #38   *       ply cap (600)                       600 plies   25.4s  (42/300)
  [w0]  #49   0-1     Party extinct                       234 plies   10.1s  (43/300)
  [w3]  #48   0-1     Party extinct                       162 plies    7.1s  (44/300)
  [w2]  #39   0-1     Party extinct                       234 plies   10.1s  (45/300)
  [w0]  #53   1-0     Treasure checkmated or captured     251 plies   10.8s  (46/300)
  [w1]  #42   1-0     Treasure checkmated or captured     311 plies   13.3s  (47/300)
  [w2]  #43   0-1     Party extinct                       176 plies    7.7s  (48/300)
  [w1]  #46   0-1     Party has no legal response          70 plies    3.2s  (49/300)
  [w3]  #52   1-0     Treasure checkmated or captured     377 plies   16.1s  (50/300)
  [w2]  #47   1-0     Treasure checkmated or captured     181 plies    7.9s  (51/300)
  [w1]  #50   1-0     Treasure checkmated or captured     181 plies    7.9s  (52/300)
  [w0]  #57   0-1     Party extinct                       312 plies   13.4s  (53/300)
  [w2]  #51   1-0     Treasure checkmated or captured     173 plies    7.6s  (54/300)
  [w3]  #56   1-0     Treasure checkmated or captured     237 plies   10.3s  (55/300)
  [w1]  #54   0-1     Party extinct                       314 plies   13.5s  (56/300)
  [w2]  #55   0-1     Party extinct                       256 plies   11.0s  (57/300)
  [w3]  #60   1-0     Treasure checkmated or captured     241 plies   10.4s  (58/300)
  [w0]  #61   1-0     Treasure checkmated or captured     407 plies   17.4s  (59/300)
  [w1]  #58   0-1     Party extinct                       178 plies    7.8s  (60/300)
  [w3]  #64   0-1     Party extinct                       176 plies    7.7s  (61/300)
  [w2]  #59   0-1     Party extinct                       182 plies    8.0s  (62/300)
  [w1]  #62   1-0     Treasure checkmated or captured     125 plies    5.6s  (63/300)
  [w0]  #65   1-0     Treasure checkmated or captured     303 plies   13.0s  (64/300)
  [w2]  #63   1-0     Treasure checkmated or captured     181 plies    7.9s  (65/300)
  [w1]  #66   1-0     Treasure checkmated or captured     161 plies    7.1s  (66/300)
  [w3]  #68   1-0     Treasure checkmated or captured     221 plies    9.6s  (67/300)
  [w2]  #67   0-1     Party has no legal response          78 plies    3.6s  (68/300)
  [w2]  #71   1-0     Treasure checkmated or captured     101 plies    4.6s  (69/300)
  [w1]  #70   0-1     Party extinct                       214 plies    9.3s  (70/300)
  [w3]  #72   1-0     Treasure checkmated or captured     209 plies    9.1s  (71/300)
  [w0]  #69   0-1     Party extinct                       402 plies   17.2s  (72/300)
  [w2]  #75   1-0     Treasure checkmated or captured     175 plies    7.7s  (73/300)
  [w3]  #76   0-1     Party extinct                       190 plies    8.4s  (74/300)
  [w0]  #73   0-1     Party extinct                       132 plies    5.8s  (75/300)
  [w2]  #79   1-0     Treasure checkmated or captured     201 plies    8.8s  (76/300)
  [w3]  #80   1-0     Treasure checkmated or captured     149 plies    6.6s  (77/300)
  [w0]  #77   1-0     Treasure checkmated or captured     107 plies    4.9s  (78/300)
  [w0]  #81   0-1     Party extinct                        60 plies    2.8s  (79/300)
  [w1]  #74   *       ply cap (600)                       600 plies   25.5s  (80/300)
  [w3]  #84   0-1     Party extinct                       286 plies   12.3s  (81/300)
  [w0]  #85   0-1     Party extinct                       276 plies   11.9s  (82/300)
  [w1]  #78   0-1     Party extinct                       198 plies    8.7s  (83/300)
  [w0]  #89   0-1     Party extinct                       178 plies    7.8s  (84/300)
  [w3]  #88   1-0     Treasure checkmated or captured     249 plies   10.8s  (85/300)
