Match: rule-set 'v7-d8-spsa-final-iterate'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260427  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v7-d8-spsa-final-iterate-80888-8947b5bb9fd54c41a859c3be4882892e.ini
  startFen : 4abtba3/2mubmbu4/12/3*4*3/4**6/12/12/3XCLSD4 w - - 0 1
  openings : 300 distinct (requested 300)

  [w0]  #1    0-1     Party extinct                       212 plies    9.3s  (1/300)
  [w1]  #2    1-0     Treasure checkmated or captured     219 plies    9.6s  (2/300)
  [w1]  #6    0-1     Party extinct                       162 plies    7.1s  (3/300)
  [w0]  #5    0-1     Party extinct                       318 plies   13.7s  (4/300)
  [w3]  #4    *       ply cap (600)                       600 plies   25.5s  (5/300)
  [w2]  #3    *       ply cap (600)                       600 plies   25.6s  (6/300)
  [w1]  #10   0-1     Party extinct                       264 plies   11.5s  (7/300)
  [w2]  #7    1-0     Treasure checkmated or captured     143 plies    6.3s  (8/300)
  [w0]  #9    0-1     Party extinct                       248 plies   10.7s  (9/300)
  [w1]  #14   0-1     Party extinct                       174 plies    7.6s  (10/300)
  [w0]  #13   1-0     Treasure checkmated or captured     115 plies    5.1s  (11/300)
  [w2]  #11   0-1     Party extinct                       238 plies   10.4s  (12/300)
  [w1]  #18   1-0     Treasure checkmated or captured     205 plies    8.9s  (13/300)
  [w0]  #17   1-0     Treasure checkmated or captured     259 plies   11.2s  (14/300)
  [w3]  #8    *       ply cap (600)                       600 plies   25.5s  (15/300)
  [w2]  #15   0-1     Party extinct                       218 plies    9.5s  (16/300)
  [w2]  #19   0-1     Party extinct                       254 plies   11.0s  (17/300)
  [w0]  #21   0-1     Party extinct                       296 plies   12.8s  (18/300)
  [w1]  #22   *       ply cap (600)                       600 plies   25.5s  (19/300)
  [w0]  #25   1-0     Treasure checkmated or captured     235 plies   10.2s  (20/300)
  [w2]  #23   0-1     Party extinct                       268 plies   11.6s  (21/300)
  [w3]  #12   *       ply cap (600)                       600 plies   25.5s  (22/300)
  [w0]  #29   1-0     Treasure checkmated or captured     219 plies    9.5s  (23/300)
  [w1]  #26   1-0     Treasure checkmated or captured     305 plies   13.1s  (24/300)
  [w3]  #16   0-1     Party extinct                       156 plies    6.9s  (25/300)
  [w1]  #30   0-1     Party extinct                       132 plies    5.9s  (26/300)
  [w2]  #27   0-1     Party extinct                       374 plies   16.0s  (27/300)
  [w1]  #34   1-0     Treasure checkmated or captured     129 plies    5.8s  (28/300)
  [w0]  #33   1-0     Treasure checkmated or captured     317 plies   13.7s  (29/300)
  [w3]  #20   0-1     Party extinct                       346 plies   14.9s  (30/300)
  [w2]  #31   0-1     Party extinct                       214 plies    9.3s  (31/300)
  [w0]  #37   1-0     Treasure checkmated or captured     171 plies    7.5s  (32/300)
  [w3]  #24   0-1     Party extinct                       158 plies    7.0s  (33/300)
  [w1]  #38   0-1     Party extinct                       238 plies   10.3s  (34/300)
  [w0]  #41   0-1     Party extinct                       138 plies    6.1s  (35/300)
  [w2]  #35   0-1     Party extinct                       270 plies   11.7s  (36/300)
  [w1]  #42   1-0     Treasure checkmated or captured     169 plies    7.4s  (37/300)
  [w1]  #46   1-0     Treasure checkmated or captured       1 plies    0.4s  (38/300)
  [w0]  #45   0-1     Party extinct                       168 plies    7.4s  (39/300)
  [w1]  #50   0-1     Party extinct                       164 plies    7.3s  (40/300)
  [w2]  #39   0-1     Party extinct                       236 plies   10.3s  (41/300)
  [w0]  #49   1-0     Treasure checkmated or captured     167 plies    7.3s  (42/300)
  [w1]  #54   1-0     Treasure checkmated or captured     131 plies    5.9s  (43/300)
  [w3]  #28   *       ply cap (600)                       600 plies   25.5s  (44/300)
  [w0]  #53   0-1     Party extinct                       246 plies   10.6s  (45/300)
  [w1]  #58   0-1     Party extinct                       240 plies   10.4s  (46/300)
  [w2]  #43   1-0     Treasure checkmated or captured     431 plies   18.4s  (47/300)
  [w3]  #32   0-1     Party extinct                       252 plies   10.9s  (48/300)
  [w1]  #62   0-1     Party extinct                       210 plies    9.2s  (49/300)
  [w0]  #57   1-0     Treasure checkmated or captured     287 plies   12.4s  (50/300)
  [w3]  #36   0-1     Party extinct                       162 plies    7.1s  (51/300)
  [w2]  #47   0-1     Party extinct                       216 plies    9.4s  (52/300)
  [w0]  #61   1-0     Treasure checkmated or captured     157 plies    6.9s  (53/300)
  [w0]  #65   1-0     Treasure checkmated or captured       1 plies    0.4s  (54/300)
  [w2]  #51   0-1     Party extinct                       164 plies    7.2s  (55/300)
  [w0]  #69   0-1     Party extinct                       136 plies    6.0s  (56/300)
  [w3]  #40   0-1     Party extinct                       318 plies   13.7s  (57/300)
  [w2]  #55   1-0     Treasure checkmated or captured     179 plies    7.8s  (58/300)
  [w3]  #44   0-1     Party extinct                       134 plies    6.0s  (59/300)
  [w1]  #66   *       ply cap (600)                       600 plies   25.5s  (60/300)
  [w2]  #59   0-1     Party extinct                       194 plies    8.5s  (61/300)
  [w1]  #70   0-1     Party extinct                       120 plies    5.3s  (62/300)
  [w1]  #74   1-0     Treasure checkmated or captured       5 plies    0.5s  (63/300)
  [w1]  #78   1-0     Treasure checkmated or captured      81 plies    3.7s  (64/300)
  [w0]  #73   *       ply cap (600)                       600 plies   25.4s  (65/300)
  [w2]  #63   0-1     Party extinct                       316 plies   13.6s  (66/300)
  [w1]  #82   0-1     Party has no legal response         182 plies    8.0s  (67/300)
  [w0]  #77   0-1     Party extinct                       146 plies    6.5s  (68/300)
  [w3]  #48   *       ply cap (600)                       600 plies   25.5s  (69/300)
  [w2]  #67   1-0     Treasure checkmated or captured     235 plies   10.2s  (70/300)
  [w1]  #86   0-1     Party extinct                       246 plies   10.6s  (71/300)
  [w0]  #81   1-0     Treasure checkmated or captured     167 plies    7.3s  (72/300)
  [w2]  #71   0-1     Party extinct                       166 plies    7.3s  (73/300)
  [w1]  #90   1-0     Treasure checkmated or captured     155 plies    6.9s  (74/300)
  [w3]  #52   1-0     Treasure checkmated or captured     291 plies   12.6s  (75/300)
  [w2]  #75   0-1     Party has no legal response         134 plies    6.0s  (76/300)
  [w1]  #94   0-1     Party extinct                        90 plies    4.2s  (77/300)
  [w3]  #56   0-1     Party extinct                       234 plies   10.2s  (78/300)
  [w1]  #98   1-0     Treasure checkmated or captured     263 plies   11.4s  (79/300)
  [w2]  #79   1-0     Treasure checkmated or captured     331 plies   14.2s  (80/300)
  [w0]  #85   *       ply cap (600)                       600 plies   25.5s  (81/300)
  [w0]  #89   1-0     Treasure checkmated or captured     127 plies    5.6s  (82/300)
  [w1]  #102  0-1     Party extinct                       242 plies   10.5s  (83/300)
  [w2]  #83   0-1     Party extinct                       246 plies   10.6s  (84/300)
  [w1]  #106  0-1     Party extinct                       224 plies    9.7s  (85/300)
  [w3]  #60   *       ply cap (600)                       600 plies   25.5s  (86/300)
  [w2]  #87   1-0     Treasure checkmated or captured     199 plies    8.7s  (87/300)
  [w0]  #93   0-1     Party extinct                       388 plies   16.6s  (88/300)
  [w2]  #91   1-0     Treasure checkmated or captured     127 plies    5.7s  (89/300)
  [w3]  #64   0-1     Party extinct                       230 plies   10.0s  (90/300)
  [w1]  #110  0-1     Party extinct                       240 plies   10.4s  (91/300)
  [w0]  #97   0-1     Party extinct                       206 plies    9.0s  (92/300)
  [w2]  #95   0-1     Party extinct                       184 plies    8.1s  (93/300)
  [w1]  #114  0-1     Party extinct                       182 plies    7.9s  (94/300)
  [w3]  #68   0-1     Party extinct                       196 plies    8.5s  (95/300)
  [w1]  #118  1-0     Treasure checkmated or captured     127 plies    5.7s  (96/300)
  [w0]  #101  1-0     Treasure checkmated or captured     251 plies   10.9s  (97/300)
  [w2]  #99   0-1     Party extinct                       268 plies   11.6s  (98/300)
  [w3]  #72   1-0     Treasure checkmated or captured     279 plies   12.1s  (99/300)
  [w2]  #103  1-0     Treasure checkmated or captured      91 plies    4.1s  (100/300)
  [w1]  #122  0-1     Party extinct                       284 plies   12.2s  (101/300)
  [w0]  #105  0-1     Party extinct                       266 plies   11.5s  (102/300)
  [w3]  #76   1-0     Treasure checkmated or captured     263 plies   11.4s  (103/300)
  [w0]  #109  0-1     Party extinct                       122 plies    5.4s  (104/300)
  [w1]  #126  1-0     Treasure checkmated or captured     181 plies    7.9s  (105/300)
  [w3]  #80   1-0     Treasure checkmated or captured     171 plies    7.5s  (106/300)
  [w0]  #113  0-1     Party extinct                       250 plies   10.8s  (107/300)
  [w1]  #130  1-0     Treasure checkmated or captured     243 plies   10.5s  (108/300)
