Match: rule-set 'v7f-d8-remove-a-no-leader'  games=300  depth=8  max-plies=600  openings=300x6plies  seed=20260503  parallel=4
  variants : /var/folders/rs/77r0skzs579fgb60prc23_mr0000gn/T/yes-hybrid/variants-v7f-d8-remove-a-no-leader-84868-e74e492a3e74499f8f5ec7cea8ccaa6f.ini
  startFen : 4abtb4/2mubmbu4/12/3*4*3/4**6/12/12/3XC1SD4 w - - 0 1
  openings : 300 distinct (requested 300)

  [w2]  #3    1-0     Treasure checkmated or captured     235 plies   10.3s  (1/300)
  [w1]  #2    1-0     Treasure checkmated or captured     333 plies   14.3s  (2/300)
  [w3]  #4    0-1     Party extinct                       412 plies   17.6s  (3/300)
  [w0]  #1    *       ply cap (600)                       600 plies   25.6s  (4/300)
  [w1]  #6    0-1     Party extinct                       304 plies   13.1s  (5/300)
  [w2]  #7    *       ply cap (600)                       600 plies   25.5s  (6/300)
  [w3]  #8    *       ply cap (600)                       600 plies   25.5s  (7/300)
  [w0]  #5    1-0     Treasure checkmated or captured     485 plies   20.7s  (8/300)
  [w2]  #11   1-0     Treasure checkmated or captured     385 plies   16.6s  (9/300)
  [w1]  #10   *       ply cap (600)                       600 plies   25.5s  (10/300)
  [w3]  #12   1-0     Treasure checkmated or captured     313 plies   13.5s  (11/300)
  [w1]  #14   1-0     Treasure checkmated or captured     147 plies    6.5s  (12/300)
  [w1]  #18   0-1     Party extinct                        90 plies    4.1s  (13/300)
  [w3]  #16   0-1     Party extinct                       282 plies   12.1s  (14/300)
  [w0]  #9    *       ply cap (600)                       600 plies   25.5s  (15/300)
  [w2]  #15   *       ply cap (600)                       600 plies   25.5s  (16/300)
  [w1]  #22   *       ply cap (600)                       600 plies   25.4s  (17/300)
  [w0]  #13   0-1     Party extinct                       410 plies   17.5s  (18/300)
  [w2]  #19   1-0     Treasure checkmated or captured     347 plies   14.8s  (19/300)
  [w1]  #26   1-0     Treasure checkmated or captured     205 plies    8.9s  (20/300)
  [w0]  #17   *       ply cap (600)                       600 plies   25.5s  (21/300)
  [w2]  #23   *       ply cap (600)                       600 plies   25.5s  (22/300)
  [w0]  #21   1-0     Treasure checkmated or captured      87 plies    4.0s  (23/300)
  [w1]  #30   *       ply cap (600)                       600 plies   25.4s  (24/300)
  [w0]  #25   1-0     Treasure checkmated or captured     107 plies    4.8s  (25/300)
  [w0]  #29   0-1     Party has no legal response         184 plies    8.0s  (26/300)
  [w2]  #27   *       ply cap (600)                       600 plies   25.4s  (27/300)
  [w1]  #34   *       ply cap (600)                       600 plies   25.4s  (28/300)
  [w2]  #31   1-0     Treasure checkmated or captured     145 plies    6.4s  (29/300)
  [w0]  #33   *       ply cap (600)                       600 plies   25.4s  (30/300)
  [w0]  #37   1-0     Treasure checkmated or captured      87 plies    4.0s  (31/300)
  [w2]  #35   0-1     Party extinct                       404 plies   17.2s  (32/300)
  [w1]  #38   *       ply cap (600)                       600 plies   25.4s  (33/300)
  [w0]  #41   0-1     Party extinct                       412 plies   17.5s  (34/300)
  [w2]  #39   1-0     Treasure checkmated or captured     327 plies   14.0s  (35/300)
  [w0]  #45   0-1     Party has no legal response          86 plies    3.9s  (36/300)
  [w2]  #43   1-0     Treasure checkmated or captured     151 plies    6.6s  (37/300)
  [w3]  #20   *       engine timeout                       60 plies  122.8s  (38/300)
  [w0]  #49   0-1     Party extinct                       390 plies   16.7s  (39/300)
  [w1]  #42   *       ply cap (600)                       600 plies   25.4s  (40/300)
  [w3]  #24   1-0     Treasure checkmated or captured     305 plies   13.2s  (41/300)
  [w3]  #28   0-1     Party extinct                       194 plies    8.5s  (42/300)
  [w2]  #47   *       ply cap (600)                       600 plies   25.5s  (43/300)
  [w0]  #53   *       ply cap (600)                       600 plies   25.5s  (44/300)
  [w1]  #46   *       ply cap (600)                       600 plies   25.5s  (45/300)
  [w2]  #51   0-1     Party extinct                       428 plies   18.3s  (46/300)
  [w0]  #57   0-1     Party extinct                       166 plies    7.3s  (47/300)
  [w0]  #61   1-0     Treasure checkmated or captured      85 plies    3.9s  (48/300)
  [w3]  #32   0-1     Party extinct                       560 plies   23.9s  (49/300)
  [w2]  #55   0-1     Party extinct                       124 plies    5.6s  (50/300)
  [w3]  #36   0-1     Party extinct                        88 plies    4.0s  (51/300)
  [w2]  #59   1-0     Treasure checkmated or captured     141 plies    6.3s  (52/300)
  [w3]  #40   1-0     Treasure checkmated or captured     137 plies    6.1s  (53/300)
  [w1]  #50   *       ply cap (600)                       600 plies   25.5s  (54/300)
  [w1]  #54   0-1     Party extinct                       228 plies    9.9s  (55/300)
  [w0]  #65   *       ply cap (600)                       600 plies   25.5s  (56/300)
  [w2]  #63   *       ply cap (600)                       600 plies   25.5s  (57/300)
  [w1]  #58   0-1     Party extinct                       588 plies   25.0s  (58/300)
  [w2]  #67   1-0     Treasure checkmated or captured     383 plies   16.3s  (59/300)
  [w0]  #69   *       ply cap (600)                       600 plies   25.5s  (60/300)
  [w0]  #73   1-0     Treasure checkmated or captured     215 plies    9.3s  (61/300)
  [w1]  #62   *       ply cap (600)                       600 plies   25.4s  (62/300)
  [w2]  #71   *       ply cap (600)                       600 plies   25.4s  (63/300)
  [w0]  #77   0-1     Party extinct                       532 plies   22.6s  (64/300)
  [w0]  #81   1-0     Treasure checkmated or captured       1 plies    0.4s  (65/300)
  [w2]  #75   1-0     Treasure checkmated or captured     399 plies   17.1s  (66/300)
  [w1]  #66   *       ply cap (600)                       600 plies   25.5s  (67/300)
  [w1]  #70   1-0     Treasure checkmated or captured      95 plies    4.3s  (68/300)
  [w0]  #85   *       ply cap (600)                       600 plies   25.4s  (69/300)
  [w2]  #79   *       ply cap (600)                       600 plies   25.4s  (70/300)
  [w1]  #74   *       ply cap (600)                       600 plies   25.4s  (71/300)
  [w0]  #89   *       ply cap (600)                       600 plies   25.4s  (72/300)
  [w3]  #44   *       engine timeout                      185 plies  128.1s  (73/300)
  [w2]  #83   *       ply cap (600)                       600 plies   25.5s  (74/300)
  [w1]  #78   0-1     Party extinct                       386 plies   16.5s  (75/300)
  [w0]  #93   *       ply cap (600)                       600 plies   25.6s  (76/300)
  [w0]  #97   0-1     Party extinct                       108 plies    4.9s  (77/300)
  [w3]  #48   *       ply cap (600)                       600 plies   25.6s  (78/300)
  [w1]  #82   1-0     Treasure checkmated or captured     445 plies   19.1s  (79/300)
  [w2]  #87   *       ply cap (600)                       600 plies   25.6s  (80/300)
  [w3]  #52   0-1     Party extinct                       366 plies   15.7s  (81/300)
  [w0]  #101  *       ply cap (600)                       600 plies   25.5s  (82/300)
  [w1]  #86   *       ply cap (600)                       600 plies   25.5s  (83/300)
  [w2]  #91   *       ply cap (600)                       600 plies   25.5s  (84/300)
  [w3]  #56   *       ply cap (600)                       600 plies   25.5s  (85/300)
  [w0]  #105  *       ply cap (600)                       600 plies   25.5s  (86/300)
  [w1]  #90   *       ply cap (600)                       600 plies   25.5s  (87/300)
  [w2]  #95   *       ply cap (600)                       600 plies   25.5s  (88/300)
  [w0]  #109  0-1     Party extinct                       356 plies   15.3s  (89/300)
  [w3]  #60   *       ply cap (600)                       600 plies   25.5s  (90/300)
  [w1]  #94   1-0     Treasure checkmated or captured     521 plies   22.2s  (91/300)
  [w3]  #64   1-0     Treasure checkmated or captured     195 plies    8.5s  (92/300)
  [w2]  #99   *       ply cap (600)                       600 plies   25.5s  (93/300)
  [w0]  #113  1-0     Treasure checkmated or captured     359 plies   15.4s  (94/300)
  [w0]  #117  1-0     Treasure checkmated or captured     119 plies    5.4s  (95/300)
  [w3]  #68   0-1     Party extinct                       354 plies   15.2s  (96/300)
  [w3]  #72   0-1     Party has no legal response          94 plies    4.3s  (97/300)
  [w1]  #98   *       ply cap (600)                       600 plies   25.5s  (98/300)
  [w1]  #102  1-0     Treasure checkmated or captured      43 plies    2.1s  (99/300)
  [w2]  #103  *       ply cap (600)                       600 plies   25.5s  (100/300)
  [w1]  #106  0-1     Party extinct                       162 plies    7.1s  (101/300)
  [w0]  #121  *       ply cap (600)                       600 plies   25.5s  (102/300)
  [w0]  #125  0-1     Party extinct                       142 plies    6.3s  (103/300)
  [w3]  #76   *       ply cap (600)                       600 plies   25.5s  (104/300)
  [w3]  #80   1-0     Treasure checkmated or captured      81 plies    3.8s  (105/300)
  [w1]  #110  0-1     Party extinct                       394 plies   16.9s  (106/300)
  [w1]  #114  0-1     Party extinct                       112 plies    5.0s  (107/300)
  [w2]  #107  *       ply cap (600)                       600 plies   25.5s  (108/300)
  [w0]  #129  *       ply cap (600)                       600 plies   25.5s  (109/300)
  [w3]  #84   0-1     Party extinct                       492 plies   21.0s  (110/300)
  [w1]  #118  0-1     Party extinct                       438 plies   18.8s  (111/300)
  [w2]  #111  *       ply cap (600)                       600 plies   25.5s  (112/300)
  [w1]  #122  1-0     Treasure checkmated or captured     253 plies   11.0s  (113/300)
  [w1]  #126  0-1     Party has no legal response          98 plies    4.5s  (114/300)
  [w0]  #133  *       ply cap (600)                       600 plies   25.5s  (115/300)
  [w3]  #88   *       ply cap (600)                       600 plies   25.5s  (116/300)
  [w1]  #130  1-0     Treasure checkmated or captured     165 plies    7.3s  (117/300)
  [w2]  #115  *       ply cap (600)                       600 plies   25.5s  (118/300)
